model,year,price,transmission,mileage,fuelType,engineSize
 C Class,2020,30495,Automatic,1200,Diesel,2.0
 C Class,2020,29989,Automatic,1000,Petrol,1.5
 C Class,2020,37899,Automatic,500,Diesel,2.0
 C Class,2019,30399,Automatic,5000,Diesel,2.0
 C Class,2019,29899,Automatic,4500,Diesel,2.0
 C Class,2020,30999,Automatic,1000,Diesel,2.0
 C Class,2020,35999,Automatic,500,Diesel,2.0
 C Class,2019,37990,Automatic,1412,Petrol,3.0
 C Class,2019,28990,Automatic,3569,Diesel,2.0
 C Class,2019,28990,Automatic,3635,Diesel,2.0
 C Class,2013,9995,Automatic,44900,Petrol,1.6
 C Class,2012,6995,Automatic,88200,Diesel,2.1
 C Class,2012,7495,Automatic,115000,Diesel,2.1
 C Class,2011,8995,Automatic,69250,Diesel,2.1
 C Class,2015,14995,Automatic,49850,Diesel,2.1
 C Class,2013,8595,Automatic,82685,Diesel,2.1
 C Class,2016,19250,Semi-Auto,32506,Diesel,2.1
 C Class,2017,23500,Semi-Auto,17000,Diesel,2.1
 C Class,2018,24995,Semi-Auto,17744,Diesel,2.0
 C Class,2016,29995,Semi-Auto,64291,Petrol,4.0
 C Class,2014,17990,Automatic,41011,Petrol,2.0
 C Class,2016,14477,Automatic,72000,Diesel,1.6
 C Class,2013,10977,Automatic,72000,Diesel,2.1
 C Class,2016,17977,Automatic,40000,Diesel,1.6
 C Class,2015,12790,Automatic,52000,Diesel,2.1
 C Class,2017,14488,Automatic,66472,Diesel,2.1
 C Class,2011,7500,Manual,91000,Diesel,2.1
 C Class,2013,9750,Automatic,69700,Diesel,2.1
 C Class,2015,15995,Automatic,39000,Diesel,1.6
 C Class,2016,15675,Manual,39287,Diesel,2.1
 C Class,2016,16475,Manual,40569,Diesel,2.1
 C Class,2016,15975,Manual,37419,Petrol,2.0
 C Class,2016,16475,Automatic,34452,Diesel,2.1
 C Class,2015,15975,Automatic,41567,Hybrid,2.1
 C Class,2015,16495,Automatic,41130,Hybrid,2.0
 C Class,2017,17795,Automatic,37778,Diesel,2.1
 C Class,2017,17875,Automatic,44325,Diesel,2.1
 C Class,2016,14000,Automatic,45000,Diesel,2.1
 C Class,2017,16500,Automatic,75000,Diesel,1.6
 C Class,2016,21000,Automatic,36000,Diesel,2.1
 C Class,2015,15500,Automatic,64000,Diesel,2.1
 C Class,2013,7250,Manual,106000,Diesel,2.1
 C Class,2015,13000,Automatic,67150,Diesel,2.1
