model,year,price,transmission,mileage,fuelType,engineSize
 Focus,2016,8000,Manual,38852,Petrol,1.0
 Focus,2019,13400,Manual,11952,Petrol,1.0
 Focus,2019,14600,Manual,22142,Petrol,1.5
 Focus,2016,9450,Manual,14549,Diesel,1.6
 Focus,2015,9999,Manual,7010,Diesel,1.6
 Focus,2016,10699,Automatic,26796,Petrol,1.0
 Focus,2018,12849,Manual,16128,Petrol,1.0
 Focus,2020,24999,Manual,4900,Petrol,2.3
 Focus,2018,11999,Manual,30953,Petrol,1.5
 Focus,2019,19500,Manual,3000,Diesel,1.5
 Focus,2018,12300,Manual,13255,Petrol,1.0
 Focus,2015,7500,Manual,42112,Petrol,1.0
 Focus,2017,9600,Manual,50689,Diesel,1.5
 Focus,2015,9500,Automatic,30292,Petrol,1.6
 Focus,2016,9400,Manual,25998,Petrol,1.0
 Focus,2017,9800,Manual,33629,Diesel,1.5
 Focus,2016,8000,Manual,43526,Diesel,1.5
 Focus,2018,10600,Manual,25151,Petrol,1.0
 Focus,2018,10300,Manual,45773,Petrol,1.0
 Focus,2018,11400,Manual,26656,Petrol,1.0
 Focus,2016,7900,Manual,58898,Diesel,1.5
 Focus,2015,7000,Manual,78533,Diesel,1.5
 Focus,2019,13500,Manual,27916,Diesel,1.5
 Focus,2019,13000,Manual,34466,Diesel,1.5
 Focus,2017,10800,Manual,22988,Petrol,1.0
 Focus,2016,14250,Manual,40696,Diesel,2.0
 Focus,2017,9900,Automatic,31821,Petrol,1.0
 Focus,2017,11500,Manual,18413,Petrol,1.0
 Focus,2017,9900,Manual,21492,Petrol,1.0
 Focus,2017,9500,Manual,15344,Petrol,1.0
 Focus,2019,19575,Automatic,8879,Diesel,1.5
 Focus,2019,19315,Automatic,4698,Diesel,2.0
 Focus,2019,16440,Automatic,16199,Petrol,1.0
 Focus,2019,21660,Automatic,3212,Diesel,2.0
 Focus,2019,19000,Automatic,8201,Diesel,2.0
 Focus,2019,16040,Manual,13471,Petrol,1.0
 Focus,2019,14560,Manual,12372,Petrol,1.0
 Focus,2019,16040,Manual,11535,Diesel,1.5
 Focus,2019,18650,Automatic,2219,Diesel,1.5
 Focus,2019,19015,Manual,10230,Diesel,1.5
 Focus,2019,19560,Automatic,201,Diesel,1.5
 Focus,2018,14000,Manual,9083,Petrol,1.0
 Focus,2017,13000,Manual,12456,Petrol,1.0
 Focus,2018,11000,Manual,48961,Petrol,1.0
