Date,Ozone,Solar,Wind,Temp
1976-05-01,41.0,190.0,7.4,67
1976-05-02,36.0,118.0,8.0,72
1976-05-03,12.0,149.0,12.6,74
1976-05-04,18.0,313.0,11.5,62
1976-05-05,NA,NA,14.3,56
1976-05-06,28.0,NA,14.9,66
1976-05-07,23.0,299.0,8.6,65
1976-05-08,19.0,99.0,13.8,59
1976-05-09,8.0,19.0,20.1,61
1976-05-10,NA,194.0,8.6,69
1976-05-11,7.0,NA,6.9,74
1976-05-12,16.0,256.0,9.7,69
1976-05-13,11.0,290.0,9.2,66
1976-05-14,14.0,274.0,10.9,68
1976-05-15,18.0,65.0,13.2,58
1976-05-16,14.0,334.0,11.5,64
1976-05-17,34.0,307.0,12.0,66
1976-05-18,6.0,78.0,18.4,57
1976-05-19,30.0,322.0,11.5,68
1976-05-20,11.0,44.0,9.7,62
1976-05-21,1.0,8.0,9.7,59
1976-05-22,11.0,320.0,16.6,73
1976-05-23,4.0,25.0,9.7,61
1976-05-24,32.0,92.0,12.0,61
1976-05-25,NA,66.0,16.6,57
1976-05-26,NA,266.0,14.9,58
1976-05-27,NA,NA,8.0,57
1976-05-28,23.0,13.0,12.0,67
1976-05-29,45.0,252.0,14.9,81
1976-05-30,115.0,223.0,5.7,79
1976-05-31,37.0,279.0,7.4,76
1976-06-01,NA,286.0,8.6,78
1976-06-02,NA,287.0,9.7,74
1976-06-03,NA,242.0,16.1,67
1976-06-04,NA,186.0,9.2,84
1976-06-05,NA,220.0,8.6,85
1976-06-06,NA,264.0,14.3,79
1976-06-07,29.0,127.0,9.7,82
1976-06-08,NA,273.0,6.9,87
1976-06-09,71.0,291.0,13.8,90
1976-06-10,39.0,323.0,11.5,87
1976-06-11,NA,259.0,10.9,93
1976-06-12,NA,250.0,9.2,92
1976-06-13,23.0,148.0,8.0,82
1976-06-14,NA,332.0,13.8,80
1976-06-15,NA,322.0,11.5,79
1976-06-16,21.0,191.0,14.9,77
1976-06-17,37.0,284.0,20.7,72
1976-06-18,20.0,37.0,9.2,65
1976-06-19,12.0,120.0,11.5,73
1976-06-20,13.0,137.0,10.3,76
1976-06-21,NA,150.0,6.3,77
1976-06-22,NA,59.0,1.7,76
1976-06-23,NA,91.0,4.6,76
1976-06-24,NA,250.0,6.3,76
1976-06-25,NA,135.0,8.0,75
1976-06-26,NA,127.0,8.0,78
1976-06-27,NA,47.0,10.3,73
1976-06-28,NA,98.0,11.5,80
1976-06-29,NA,31.0,14.9,77
1976-06-30,NA,138.0,8.0,83
1976-07-01,135.0,269.0,4.1,84
1976-07-02,49.0,248.0,9.2,85
1976-07-03,32.0,236.0,9.2,81
1976-07-04,NA,101.0,10.9,84
1976-07-05,64.0,175.0,4.6,83
1976-07-06,40.0,314.0,10.9,83
1976-07-07,77.0,276.0,5.1,88
1976-07-08,97.0,267.0,6.3,92
1976-07-09,97.0,272.0,5.7,92
1976-07-10,85.0,175.0,7.4,89
